,Age,Days on Site,Listed By,Lot Size,MLS®#,Size,Style,Taxes,Type,Walk Score,address,city,hoot,img_link,price,Business Type,Property Type,Zoning
36,No Data,"1 (Feb 5, 2020)","Royal Lepage/j & D Division, Brokerage",69.55 x 88 Feet,E4684601,No Data,1 1/2 Storey,"$3,570 /yr",Detached,67,2 Dalecrest Drive,Toronto,O'connor-parkview,https://photos.zolo.ca/2-dalecrest-drive-toronto-e4684601-photo-1-processed-480.jpg?2020-02-05+12%3A21%3A25,"$895,000",,,
37,No Data,"1 (Feb 5, 2020)","Homula Realty, Brokerage",40.09 x 111 Feet,E4684595,No Data,Bungalow,"$2,869 /yr",Detached,43,68 Mossbank Drive,Toronto,Woburn,https://photos.zolo.ca/68-mossbank-drive-toronto-e4684595-photo-1-processed-480.jpg?2020-02-05+12%3A21%3A17,"$759,900",,,
38,51-99 years,"1 (Feb 5, 2020)","Century 21 Heritage Group Ltd., Brokerage",62.60 x 125.1 Feet,C4684651,3000-3500 sqft,2-Storey,"$7,974 /yr",Detached,54,8 Sifton Court,Toronto,Bayview Village,https://photos.zolo.ca/8-sifton-court-toronto-c4684651-photo-1-processed-480.jpg?2020-02-05+12%3A18%3A31,"$2,888,000",,,
39,No Data,"1 (Feb 5, 2020)","Royal Lepage Real Estate Services Nancy Saedi, Brokerage",85.00 x 145 Feet,C4684632,5000 sqft,2-Storey,"$27,297 /yr",Detached,38,15 Doon Road,Toronto,Bridle Path-sunnybrook-york Mills,https://photos.zolo.ca/15-doon-road-toronto-c4684632-photo-1-processed-480.jpg?2020-02-05+15%3A23%3A03,"$6,780,000",,,
40,No Data,"1 (Feb 5, 2020)","Harvey Kalles Real Estate Ltd., Brokerage",41.40 x 130 Feet,C4684616,No Data,2-Storey,No Data,Detached,68,298 Brooke Avenue,Toronto,Bedford Park-nortown,https://photos.zolo.ca/298-brooke-avenue-toronto-c4684616-photo-1-processed-480.jpg?2020-02-05+12%3A18%3A10,"$3,895,000",,,
41,6-15 years,"1 (Feb 5, 2020)","Royal Lepage Signature Realty, Brokerage",25.00 x 125 Feet,W4684489,2000-2500 sqft,2-Storey,"$5,043 /yr",Detached,68,108 Royal York Road,Toronto,Mimico,https://photos.zolo.ca/108b-royal-york-road-toronto-w4684489-photo-1-processed-480.jpg?2020-02-05+11%3A36%3A56,"$1,499,900",,,
42,No Data,"1 (Feb 5, 2020)","Tfn Realty Inc., Brokerage",27.99 x 90.75 Feet,W4684484,1500-2000 sqft,2-Storey,"$4,597 /yr",Detached,42,1 Elhurst Court Court,Toronto,Mount Dennis,https://photos.zolo.ca/1b-elhurst-court-court-toronto-w4684484-photo-1-processed-480.jpg?2020-02-05+11%3A36%3A47,"$899,000",,,
43,No Data,"1 (Feb 5, 2020)","Royal Lepage Terrequity Realty, Brokerage",40.00 x 90 Feet,W4684398,No Data,Bungalow,"$3,236 /yr",Detached,49,20 Damascus Drive,Toronto,West Humber-clairville,https://photos.zolo.ca/20-damascus-drive-toronto-w4684398-photo-1-processed-480.jpg?2020-02-05+12%3A33%3A48,"$599,999",,,
44,New,"1 (Feb 5, 2020)","Keller Williams Advantage Realty, Brokerage",42.00 x 124.5 Feet,E4684334,3000-3500 sqft,2-Storey,"$9,485 /yr",Detached,90,359 Ashdale Avenue,Toronto,Greenwood-coxwell,https://photos.zolo.ca/359-ashdale-avenue-toronto-e4684334-photo-1-processed-480.jpg?2020-02-05+10%3A25%3A00,"$1,999,999",,,
45,0-5 years,"1 (Feb 5, 2020)","Royal Lepage Signature Realty, Brokerage",50.00 x 129.37 Feet,C4684422,3500-5000 sqft,2-Storey,"$21,411 /yr",Detached,42,73 De Vere Gardens,Toronto,Bedford Park-nortown,https://photos.zolo.ca/73-de-vere-gardens-toronto-c4684422-photo-1-processed-480.jpg?2020-02-05+12%3A17%3A57,"$5,299,000",,,
