Address,Lat,Long,Mls Number
"#502 -92 KING ST E|Toronto, Ontario M5C2V8",43.6500732,-79.3748906,C4677698
"#512 -61 RICHVIEW RD|Toronto, Ontario M9A4M8",43.683989,-79.516695,W4680890
"#GU 117 -1350 KINGSTON RD|Toronto, Ontario",43.6858439,-79.2741329,E4623666
"#212 -223 ST CLAIR AVE W|Toronto, Ontario M4V1R3",43.6856789,-79.404689,C4682546
"2221 YONGE ST|Toronto, Ontario M4S0B8",43.7060203,-79.3979253,C4635052
"#720 -222 THE ESPLANADE|Toronto, Ontario M5A4J6",43.6495978,-79.3655404,C4681791
"#505 -20 GLADSTONE AVE|Toronto, Ontario M6J3K6",43.6432692,-79.4275373,C4679808
"#802 -15 QUEENS QUAY E|Toronto, Ontario M4J1Y1",43.641973,-79.3735899,C4681511
"#1015 -68 ABELL ST|Toronto, Ontario M6J0A2",43.642313,-79.4243664,C4679031
"#2013 -120 PARLIAMENT ST|Toronto, Ontario M5A2Y8",43.6539272,-79.3638934,C4674635
"#1107 -225 SACKVILLE ST|Toronto, Ontario M5A0B9",43.6598236,-79.3627273,C4676417
"#2307 -225 SACKVILLE ST|Toronto, Ontario M5A0B9",43.6598236,-79.3627273,C4680970
"#520 -246 LOGAN AVE|Toronto, Ontario M4M2N3",43.6603651,-79.3424708,E4680225
"#3602 -120 HOMEWOOD AVE|Toronto, Ontario M4Y1J4",43.6667515,-79.3762355,C4679017
"#PH12 -1055 BAY ST|Toronto, Ontario M5S3A3",43.6668152,-79.3876245,C4678826
"#702 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7358394,-79.4826475,W4581739
"#702 -105 MC CAUL ST N|Toronto, Ontario M5T2X4",43.6536651,-79.3908802,C4664988
"#924 -120 DALLIMORE CIRC|Toronto, Ontario M3C4J1",43.7302124,-79.3320772,C4677316
"#707 -75 EMMETT AVE|Toronto, Ontario M6M5A7",43.6872013,-79.504757,W4607412
"#1020 SW -177 FRONT ST E|Toronto, Ontario M5A1E7",43.6503712,-79.3678027,C4644093
"#320 -120 PARLIAMENT ST|Toronto, Ontario M5A2W8",43.6539272,-79.3638934,C4657921
"##4115 -181 DUNDAS ST E|Toronto, Ontario M5A1Z4",43.657011,-79.3741052,C4671164
"#313 -3 MARKET ST|Toronto, Ontario M5E0A3",43.6471668,-79.3712212,C4624742
"#3705 -15 GRENVILLE ST|Toronto, Ontario M4Y1A1",43.6618822,-79.3841302,C4674032
"#405 -375 KING ST W|Toronto, Ontario M5V1K5",43.645641,-79.3929534,C4665724
"#2107 -101 PETER ST|Toronto, Ontario M5V0G6",43.6475126,-79.3927022,C4672934
"#508 -50 GEORGE BUTCHARD DR|Toronto, Ontario M3K2C5",43.7360288288563,-79.4835884786083,W4581698
"#2309 -44 ST JOSEPH ST|Toronto, Ontario M4Y2W4",43.6660964,-79.3873217,C4662206
"#2307 -28 LINDEN ST|Toronto, Ontario M4Y0A4",43.6708093,-79.3770456,C4677420
"#5014 -200 DUNDAS ST E|Toronto, Ontario M5A4R6",43.6573757,-79.3740982,C4658508
"#1505 -250 SCARLETT RD|Toronto, Ontario M6N4X5",43.6768513,-79.5067735,W4672641
"#1204 -65 BREMNER  BLVD|Toronto, Ontario M5J0A7",43.6430084249767,-79.3806978063779,C4659656
"#3211 -14 YORK ST|Toronto, Ontario M5J2Z2",43.6418503,-79.3822455,C4674711
"#309 -8 TRENT AVE|Toronto, Ontario M4C0A6",43.6879786,-79.2956737,E4644838
"52 LAUREL AVE|Toronto, Ontario M1K3J5",43.7211158,-79.2563255,E4678182
"#406 -215 WYNFORD DR|Toronto, Ontario M3C3P5",43.7235325,-79.3272201,C4667091
"#1009 -270 SCARLETT RD|Toronto, Ontario M6N4X7",43.6773071,-79.5069852,W4679282
"#607 -330 RICHMOND ST|Toronto, Ontario M5V1X2",43.6487986,-79.3927565,C4666447
"#1606 -2460 EGLINTON AVE E|Toronto, Ontario M1K5J7",43.7342567,-79.2628949,E4671982
,,,
"#2102 -55 BREMNER BLVD|Toronto, Ontario M5J0A6",43.6428849,-79.3806168,C4674650
"#527 -35 SARANAC BLVD|Toronto, Ontario M6A2G5",43.7227112,-79.4320891,C4650692
"#2801 -355 KING ST W|Toronto, Ontario M5V1J6",43.6460089,-79.3919615,C4672526
"#1410 -320 RICHMOND ST E|Toronto, Ontario M5A1P9",43.6535579,-79.3688205,C4679088
"#209 -10 OLD MILL TR|Toronto, Ontario M8X1A2",43.6501735,-79.4957853,W4637544
"#527 -55 MERCHANT'S WHARF|Toronto, Ontario M5A0N8",43.6446237,-79.3639704,C4664584
"#506 E -177 FRONT ST E|Toronto, Ontario M5A1E7",43.6503712,-79.3678027,C4649055
"#104 -2315 DANFORTH AVE|Toronto, Ontario M4C1K5",43.686787,-79.3071329,E4671941
"14 -  2063 WESTON Road|Toronto, Ontario M9N1X7",43.702101,-79.521386,30785338
"#3205 -575 BLOOR ST E|Toronto, Ontario",43.671808,-79.3719295,C4668108
"#901 -25 BROADWAY AVE|Toronto, Ontario M4P1T7",43.7098768,-79.3958574,C4654951
"#1007 -88 BLUE JAYS WAY|Toronto, Ontario M5V2G3",43.6455046,-79.3924571,C4665788
"#416 -255 THE KINGSWAY|Toronto, Ontario",43.6608171,-79.51859,W4647687
"#1221 -160 FLEMINGTON RD|Toronto, Ontario M6A1N6",43.7230666,-79.4480325,W4682473
"#2607 -832 BAY ST|Toronto, Ontario M5S1Z6",43.661927,-79.3865112,C4655168
"#1508 -400 ADELAIDE ST E|Toronto, Ontario M5A4S3",43.6527783,-79.3677633,C4677554
"#906 -205 FREDERICK ST|Toronto, Ontario M5A4V3",43.6517211,-79.369404,C4681433
"2607 832 BAY Street|Toronto, Ontario M5S1Z6",43.662041,-79.386481,H4069468
"#315 -90 NIAGARA ST|Toronto, Ontario M5V0P9",43.6417684,-79.4038314,C4676793
"#222 -33 MILL  ST|Toronto, Ontario M5A3R3",43.6502401,-79.3609196,C4682166
"#209 -330 RICHMOND ST W|Toronto, Ontario M5V1X2",43.6487986,-79.3927565,C4626072
"#433 -22 LEADER LANE|Toronto, Ontario M5E0B2",43.6492612,-79.3757259,C4681256
"#3607 -318 RICHMOND ST W|Toronto, Ontario M5V1X2",43.6489001,-79.392205,C4682586
"#N2910 -6 SONIC WAY|Toronto, Ontario M3C0P1",43.720243963491,-79.3380153134249,C4650252
"#1502 -2 SONIC WAY|Toronto, Ontario M3C0P2",43.7200947649202,-79.3378503221608,C4651218
"#1107 -38 FONTENAY CRT|Toronto, Ontario M9A5H5",43.6834109,-79.5116437,W4650697
"#3903 -5 ST  JOSEPH ST|Toronto, Ontario M4Y0B6",43.6657528,-79.3855792,C4678228
"#102 -2315 DANFORTH AVE|Toronto, Ontario M4C1K5",43.686787,-79.3071329,E4671931
"#3105 -426 UNIVERSITY AVE|Toronto, Ontario M5G1S9",43.6539487,-79.3885701,C4657958
"#2606 -426 UNIVERSITY AVE|Toronto, Ontario M5G1S9",43.6540537767359,-79.3883580675433,C4656587
"#5204 -70 TEMPERANCE ST|Toronto, Ontario M5H4E8",43.6505301,-79.3821482,C4660440
"#611 -25 THE ESPLANADE RD|Toronto, Ontario M5E1W5",43.646188,-79.374978,C4668138
,,,
"#1207 -88 BLUE JAYS WAY|Toronto, Ontario M5V2G3",43.6455046,-79.3924571,C4660948
"#4003 -5 ST JOSEPH ST|Toronto, Ontario M4Y1J6",43.6657528,-79.3855792,C4671647
"#309 -60 BERWICK AVE|Toronto, Ontario M5P1H1",43.7038164,-79.3998225,C4666141
"#203 -1350 KINGSTON RD|Toronto, Ontario",43.6858439,-79.2741329,E4519503
"#331 -2306 ST CLAIR AVE|Toronto, Ontario M6N1K8",43.6706912,-79.4783546,W4671899
"#2403 -197 YONGE ST|Toronto, Ontario M5B1M4",43.6535246,-79.3792385,C4665917
"#1029 -505 RICHMOND ST W|Toronto, Ontario M5V1Y3",43.6469443,-79.3989059,C4679510
"#5811 -14 YORK ST|Toronto, Ontario M5J2Z2",43.6418503,-79.3822455,C4647173
"#4707 -355 KING ST W|Toronto, Ontario M5V1J6",43.6460089,-79.3919615,C4659313
"70 KENMARK BLVD|Toronto, Ontario M1K3N7",43.7308127,-79.2628772,E4681530
"#509 -1603 EGLINTON AVE W|Toronto, Ontario M6E2H1",43.6969107,-79.4430945,C4617933
"#2407 -70 TEMPERANCE ST|Toronto, Ontario M5H4E8",43.6505301,-79.3821482,C4643774
"#1223 -460 ADELAIDE ST E|Toronto, Ontario M5A0E7",43.6527699,-79.3664874,C4678879
"#813 -560 KING ST W|Toronto, Ontario M5V0L5",43.644893,-79.3989021,C4676294
"#233 -2355 SHEPPARD AVE W|Toronto, Ontario M9M0B4",43.734059,-79.5362966,W4679460
"#319 -352 FRONT ST W|Toronto, Ontario M5V0K3",43.6432542,-79.3924143,C4681664
"#1701 -155 YORKVILLE AVE|Toronto, Ontario M5R1C4",43.6703202,-79.3944332,C4675459
"#2901 -159 DUNDAS ST E|Toronto, Ontario M5B1E4",43.6568058,-79.3750924,C4645841
"#N1309 -6 SONIC WAY|Toronto, Ontario M3C0P1",43.7200207713215,-79.3378950379312,C4648769
"#PH12 -70 TEMPERANCE ST|Toronto, Ontario M5H4E8",43.6505301,-79.3821482,C4654847
"#2003 -18 HARBOUR ST|Toronto, Ontario M5J2Z6",43.6428332,-79.3767991,C4654692
"#1103 -35 BALMUTO ST|Toronto, Ontario M4Y0A3",43.6694507,-79.3874705,C4665791
"#803 -33 CHARLES ST E|Toronto, Ontario M4Y0A2",43.6685778,-79.3844795,C4551156
"#1205 -435 RICHMOND ST W|Toronto, Ontario M5V0N3",43.6476244,-79.3968608,C4573520
"#2208 -2 SONIC WAY|Toronto, Ontario M3C0P2",43.7200828601967,-79.3377460697021,C4647473
"#3210 -14 YORK ST|Toronto, Ontario M5J0B2",43.6418503,-79.3822455,C4663631
"#3308 -7 CONCORDE PL|Toronto, Ontario M3C3N4",43.7306927,-79.3273194,C4677042
"#4206 -28 TED ROGERS WAY|Toronto, Ontario M4Y2W7",43.6705872,-79.3806087,C4673033
"513 386 YONGE Street|Toronto, Ontario M5B0B5",43.657053,-79.381238,H4069724
"#313 -630 QUEEN ST E|Toronto, Ontario M4M1G3",43.6584754,-79.3526281,E4681724
"#513 -386 YONGE ST|Toronto, Ontario M5B0B5",43.659329,-79.3826747,C4659562
"#3013 -101 ERSKINE AVE|Toronto, Ontario M4P0C5",43.7115868,-79.3953911,C4626700
"#908 -633 BAY ST|Toronto, Ontario M5G2G4",43.656674,-79.3834432,C4671505
"#419 -22 LEADER LANE|Toronto, Ontario M5E0B2",43.6492612,-79.3757259,C4682294
"#204 -2055 DANFORTH AVE|Toronto, Ontario M4C1J8",43.6853968,-79.3135648,E4642176
"#2720 -155 YORKVILLE AVE|Toronto, Ontario M5R1C4",43.6703202,-79.3944332,C4669237
"#1015 -633 BAY ST|Toronto, Ontario M5G2G4",43.656674,-79.3834432,C4677262
"#1114 -197 YONGE ST|Toronto, Ontario M5B1M4",43.6535246,-79.3792385,C4628853
"170 EILEEN AVE|Toronto, Ontario M6N1W1",43.6672444,-79.5033634,W4682042
"170 Eileen Avenue|Toronto, Ontario M6N1W1",43.667207,-79.502741,30788007
"#3712 -355 KING ST W|Toronto, Ontario M5V1J6",43.6460089,-79.3919615,C4657325
"#810 -12 SUDBURY ST|Toronto, Ontario M6J3W7",43.6415228,-79.4182776,C4677320
"#1308 -25 QUEENS QUAY E|Toronto, Ontario M5A4K9",43.6419079,-79.3728922,C4662299
"#1203 -10 QUEENS QUAY W|Toronto, Ontario M5J2R9",43.6418406,-79.3757995,C4667712
"#508 -300 FRONT ST W|Toronto, Ontario M5V0E9",43.6441277,-79.3894058,C4676021
"54 EVERSFIELD RD|Toronto, Ontario M6E1T7",43.6865137,-79.4509506,W4675456
"292 PHARMACY AVE W|Toronto, Ontario M1L3G2",43.701151,-79.2875054,E4681370
"2004 LAWRENCE AVE W|Toronto, Ontario M9N1H4",43.7015187,-79.5112546,W4674564
"#204 -68 MERTON ST|Toronto, Ontario M4S1A1",43.6970486,-79.394156,C4672639
"#307 -580 KINGSTON  RD|Toronto, Ontario M4E1P9",43.6786157,-79.3003342,E4681916
